更新时间: 2026-04-06 22:42:21（北京时间）

更新时间,#genre#
2026-04-06 22:42:21,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央卫综艺,#genre#
CCTV-1综合,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV-1综合,http://123.122.37.230:4021/rtp/239.3.1.129:8008$北京市联通
CCTV-1综合,http://113.120.99.168:7004/rtp/239.21.1.120:5002$山东电信
CCTV-1综合,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://123.122.37.230:4021/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://113.120.99.168:7004/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
纪实科教,http://123.122.37.230:4021/rtp/239.3.1.115:8000$北京市联通
纪实科教,http://113.120.99.168:7004/rtp/239.21.1.172:5002$山东电信
大湾区卫视,http://223.10.214.111:6000/rtp/239.1.1.69:8069$山西电信
CCTV-2财经,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV-2财经,http://123.122.37.230:4021/rtp/239.3.1.60:8084$北京市联通
CCTV-2财经,http://113.120.99.168:7004/rtp/239.21.1.151:5002$山东电信
CCTV-2财经,http://223.10.214.111:6000/rtp/239.1.1.8:8008$山西电信
凤凰卫视中文台,http://183.220.107.138:4022/rtp/239.11.0.153:5140$四川移动
凤凰卫视中文台,http://113.120.99.168:7004/rtp/239.21.2.153:5002$山东电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://123.122.37.230:4021/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://113.120.99.168:7004/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
凤凰卫视资讯台,http://183.220.107.138:4022/rtp/239.11.0.154:5140$四川移动
凤凰卫视资讯台,http://113.120.99.168:7004/rtp/239.21.2.163:5002$山东电信
CCTV-3综艺,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV-3综艺,http://123.122.37.230:4021/rtp/239.3.1.172:8001$北京市联通
CCTV-3综艺,http://113.120.99.168:7004/rtp/239.21.2.45:5002$山东电信
CCTV-3综艺,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://123.122.37.230:4021/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://113.120.99.168:7004/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
CCTV-4中文国际,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV-4中文国际,http://123.122.37.230:4021/rtp/239.3.1.105:8092$北京市联通
CCTV-4美洲,http://113.120.99.168:7004/rtp/239.21.1.154:5002$山东电信
CCTV-4美洲,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://123.122.37.230:4021/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://113.120.99.168:7004/rtp/239.21.1.111:5002$山东电信
CCTV-5体育,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV-5体育,http://123.122.37.230:4021/rtp/239.3.1.173:8001$北京市联通
CCTV-5体育,http://113.120.99.168:7004/rtp/239.21.2.46:5002$山东电信
CCTV-5体育,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://123.122.37.230:4021/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://113.120.99.168:7004/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
CCTV-6电影,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV-6电影,http://123.122.37.230:4021/rtp/239.3.1.174:8001$北京市联通
CCTV-6电影,http://113.120.99.168:7004/rtp/239.21.2.47:5002$山东电信
CCTV-6电影,http://223.10.214.111:6000/rtp/239.1.1.13:8013$山西电信
凤凰卫视香港台,http://113.120.99.168:7004/rtp/239.21.2.164:5002$山东电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://123.122.37.230:4021/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://113.120.99.168:7004/rtp/239.21.1.88:5002$山东电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
CCTV-7国防军事,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV-7国防军事,http://123.122.37.230:4021/rtp/239.3.1.61:8104$北京市联通
CCTV-7国防军事,http://113.120.99.168:7004/rtp/239.21.1.152:5002$山东电信
CCTV-7国防军事,http://223.10.214.111:6000/rtp/239.1.1.14:8014$山西电信
CCTV-8电视剧,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV-8电视剧,http://123.122.37.230:4021/rtp/239.3.1.175:8001$北京市联通
CCTV-8电视剧,http://113.120.99.168:7004/rtp/239.21.2.48:5002$山东电信
CCTV-8电视剧,http://223.10.214.111:6000/rtp/239.1.1.15:8015$山西电信
CCTV-9纪录,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV-9纪录,http://123.122.37.230:4021/rtp/239.3.1.62:8112$北京市联通
CCTV-9纪录,http://113.120.99.168:7004/rtp/239.21.1.153:5002$山东电信
CCTV-9纪录,http://223.10.214.111:6000/rtp/239.1.1.16:8016$山西电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://123.122.37.230:4021/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://113.120.99.168:7004/rtp/239.21.1.92:5002$山东电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
CCTV-10科教,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV-10科教,http://123.122.37.230:4021/rtp/239.3.1.63:8116$北京市联通
CCTV-10科教,http://113.120.99.168:7004/rtp/239.21.1.155:5002$山东电信
CCTV-10科教,http://223.10.214.111:6000/rtp/239.1.1.17:8017$山西电信
CCTV-11戏曲,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV-11戏曲,http://123.122.37.230:4021/rtp/239.3.1.152:8120$北京市联通
CCTV-11戏曲,http://113.120.99.168:7004/rtp/239.21.2.2:5002$山东电信
CCTV-11戏曲,http://223.10.214.111:6000/rtp/239.1.1.18:8018$山西电信
CCTV-12社会与法,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV-12社会与法,http://123.122.37.230:4021/rtp/239.3.1.64:8124$北京市联通
CCTV-12社会与法,http://113.120.99.168:7004/rtp/239.21.1.156:5002$山东电信
CCTV-12社会与法,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://183.220.107.138:4022/rtp/239.11.0.41:5140$四川移动
东南卫视,http://123.122.37.230:4021/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://113.120.99.168:7004/rtp/239.21.1.113:5002$山东电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
CCTV-13新闻,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV-13新闻,http://123.122.37.230:4021/rtp/239.3.1.124:8128$北京市联通
CCTV-13新闻,http://113.120.99.168:7004/rtp/239.21.2.3:5002$山东电信
CCTV-13新闻,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://123.122.37.230:4021/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
CCTV-14少儿,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV-14少儿,http://123.122.37.230:4021/rtp/239.3.1.65:8132$北京市联通
CCTV-14少儿,http://113.120.99.168:7004/rtp/239.21.1.157:5002$山东电信
CCTV-14少儿,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://123.122.37.230:4021/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://113.120.99.168:7004/rtp/239.21.2.14:5002$山东电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
CCTV-15音乐,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV-15音乐,http://123.122.37.230:4021/rtp/239.3.1.153:8136$北京市联通
CCTV-15音乐,http://113.120.99.168:7004/rtp/239.21.2.4:5002$山东电信
CCTV-15音乐,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://123.122.37.230:4021/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://113.120.99.168:7004/rtp/239.21.1.168:5002$山东电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
CCTV-16奥林匹克,http://123.122.37.230:4021/rtp/239.3.1.184:8001$北京市联通
CCTV-16奥林匹克,http://123.122.37.230:4021/rtp/239.3.1.183:8001$北京市联通
CCTV-16奥林匹克,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://123.122.37.230:4021/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://113.120.99.168:7004/rtp/239.21.2.37:5002$山东电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
CCTV-17农业农村,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV-17农业农村,http://123.122.37.230:4021/rtp/239.3.1.151:8144$北京市联通
CCTV-17农业农村,http://113.120.99.168:7004/rtp/239.21.1.186:5002$山东电信
CCTV-17农业农村,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://123.122.37.230:4021/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://113.120.99.168:7004/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
CCTV-4K超高清,http://123.122.37.230:4021/rtp/239.3.1.244:2000$北京市联通
CCTV-4K超高清,http://123.122.37.230:4021/rtp/239.3.1.245:2000$北京市联通
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://123.122.37.230:4021/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://113.120.99.168:7004/rtp/239.21.1.167:5002$山东电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
环球旅游,http://223.10.214.111:6000/rtp/239.1.1.116:8116$山西电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://123.122.37.230:4021/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://113.120.99.168:7004/rtp/239.21.2.15:5002$山东电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
CCTV-5+体育赛事,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV-5+体育赛事,http://123.122.37.230:4021/rtp/239.3.1.130:8004$北京市联通
CCTV-5+体育赛事,http://113.120.99.168:7004/rtp/239.21.1.142:5002$山东电信
CCTV-5+体育赛事,http://223.10.214.111:6000/rtp/239.1.1.12:8012$山西电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://123.122.37.230:4021/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://113.120.99.168:7004/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
